Assignments,URL,ContentId,Author,MSTgtPltfrm,New Name Slug,_______,________,_____,Redirect to:,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/cloud-services-connect-virtual-machine/,cloud-services-connect-virtual-machine,cynthn,vm-multiple,asm_connect_vms,__,__,__,Linux,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/storage-windows-attach-disk/,storage-windows-attach-disk,cynthn,vm-windows,asm_attach_disk,,__,,,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/storage-windows-detach-disk/,storage-windows-detach-disk,cynthn,vm-windows,asm_detach_disk,,__,,,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-about/,virtual-machines-about,cynthn,na,about,__,__,__,Linux,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-attach-disk-preview/,virtual-machines-attach-disk-preview,cynthn,vm-multiple,arm_attach_disk_portal,__,__,__,Windows,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-capture-image-windows-server/,virtual-machines-capture-image-windows-server,cynthn,vm-windows,asm_capture_image,,__,,,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-configuring-oracle-data-guard/,virtual-machines-configuring-oracle-data-guard,bbenz,vm-windows,asm_configure_oracle_data_guard,,__,,,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-configuring-oracle-goldengate/,virtual-machines-configuring-oracle-goldengate,bbenz,vm-windows,asm_configure_oracle_goldengate,,__,,,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-create-custom/,virtual-machines-create-custom,cynthn,vm-multiple,asm_create_vm_portal,__,__,__,Windows,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-create-upload-vhd-windows-server/,virtual-machines-create-upload-vhd-windows-server,cynthn,vm-windows,asm_create_vm_upload_vhd,,__,,,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-creating-oracle-database-virtual-machine/,virtual-machines-creating-oracle-database-virtual-machine,bbenz,Windows,asm_create_oracle_database_vm,,__,,,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-creating-oracle-weblogic-server-12c-oracle-database-12c-virtual-machine/,virtual-machines-creating-oracle-weblogic-server-12c-oracle-database-12c-virtual-machine,bbenz,vm-windows,arm_create_oracle_weblogic_server_12c_database_vm,,__,,,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-creating-oracle-weblogic-server-12c-virtual-machine/,virtual-machines-creating-oracle-weblogic-server-12c-virtual-machine,bbenz,na,arm_create_oracle_weblogic_server_12c_vm,,__,,,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-disks-vhds/,virtual-machines-disks-vhds,cynthn,na,about_disks_vhds,__,__,__,Linux,
cynthn,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-docker-registry-on-azure-blob-storage/,virtual-machines-docker-registry-on-azure-blob-storage,ahmetb,vm-linux,docker_registry_in_blob_storage,,,__,,
